date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:32:16	13030/13030	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Mar%202015%2010:32:15%20GMT	https://www.youtube.com/embed/OdjlQ0ChJbo5b2e.html?feature=oembed	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.youtube.com/embed/OdjlQ0ChJbo5b2e5b2e.html	(from )
11:32:16	7322/7322	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Mar%202015%2010:32:18%20GMT	http://www.psychologiesport.com/article-recettes-magiques-pour-progresser-mentalement-52543477.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.psychologiesport.com/article-recettes-magiques-pour-progresser-mentalement-52543477.html	(from )
11:32:17	3786/3786	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Feb%202015%2014:40:21%20GMT	http://www.eurosport.fr/tennis/andy-murray_prs32219/person.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.eurosport.fr/tennis/andy-murray_prs32219/person.1f.delayed	(from )
11:32:17	3786/3786	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2026%20Feb%202015%2014:40:21%20GMT	http://www.eurosport.fr/tennis/atp-tour/2012/andy-murray-travaille-avec-un-psy_sto3455787/story.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.eurosport.fr/tennis/atp-tour/2012/andy-murray-travaille-avec-un-psy_sto3455787/story.html	(from )
11:32:17	779/779	---M--	403	error ('Forbidden')	text/html		http://www.itftennis.com/coaching/sportsscience/coachesreview82a7.html?articleid=19586	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.itftennis.com/coaching/sportsscience/coachesreview82a7.2182a7.delayed	(from )
11:32:20	317734/317734	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Mar%202015%2010:32:21%20GMT	http://www.amazon.fr/gp/product/2711770613/ref%3das_li_tf_ilccde.html?ie=UTF8&tag=psychologiedusport-21&linkCode=as2&camp=1642&creative=6746&creativeASIN=2711770613	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.amazon.fr/gp/product/2711770613/ref=as_li_tf_ilccdeccde.html	(from )
11:32:24	98340/98340	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Mar%202015%2010:32:25%20GMT	http://www.lexpress.fr/education/la-competition-entre-enfants-ne-doit-pas-faire-oublier-les-valeurs-du-sport_1221727.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.lexpress.fr/education/la-competition-entre-enfants-ne-doit-pas-faire-oublier-les-valeurs-du-sport_1221727.html	(from )
11:32:29	349653/349653	---M--	200	added ('OK')	text/html	date:Mon,%2002%20Mar%202015%2010:32:29%20GMT	http://www.amazon.fr/Le-mental-coachs-Hubert-Ripoll/dp/2228907634/ref%3dsr_1_1e6d9.html?s=books&ie=UTF8&qid=1333034826&sr=1-1	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.amazon.fr/Le-mental-coachs-Hubert-Ripoll/dp/2228907634/ref=sr_1_1e6d9e6d9.html	(from )
11:32:30	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Mar%202015%2010:32:31%20GMT	http://www.pokerstars.fr/index.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.pokerstars.fr/index.25.delayed	(from )
11:32:31	234/234	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2002%20Mar%202015%2010:32:33%20GMT	http://www.pokerstars.fr/	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.pokerstars.fr/index.html	(from )
11:32:31	0/-1	---M--	302	error ('Found')	text/html		http://www.coachingsportandmusic.com/CSM/HOME.html	C:/Users/Marine/Documents/cmi/M1/BE/PsySp/www.coachingsportandmusic.com/CSM/HOME.26.delayed	(from )
